title,tags
STAR WARS™ Republic Commando™,"Star Wars, FPS, Action, Tactical, Sci-fi, Singleplayer, Shooter, First-Person, Classic, Multiplayer, Great Soundtrack, Masterpiece, Space, Atmospheric, Epic, Adventure, Team-Based, War, Co-op, Strategy"
Indiana Jones® and the Fate of Atlantis™,"Adventure, Point & Click, Classic, Masterpiece, 1990's, Great Soundtrack, Singleplayer, Retro, Pixel Graphics, Story Rich, Cult Classic, Action, Action-Adventure, Remake, Funny, Puzzle, 2D, Atmospheric"
STAR WARS™ Jedi Knight - Jedi Academy™,"Star Wars, Action, Sci-fi, Third Person, Multiplayer, Classic, Singleplayer, Swordplay, Moddable, FPS, Character Customization, Adventure, Shooter, First-Person, RPG, Masterpiece, Third-Person Shooter, Great Soundtrack, Hack and Slash, Female Protagonist"
STAR WARS™ Jedi Knight II - Jedi Outcast™,"Star Wars, Action, Classic, Sci-fi, Multiplayer, FPS, Third Person, Shooter, Singleplayer, Masterpiece, Story Rich, Adventure, Third-Person Shooter, Cult Classic, First-Person, Great Soundtrack, Swordplay, Space, Moddable, Atmospheric"
The Dig®,"Adventure, Point & Click, Great Soundtrack, Singleplayer, Classic, 1990's, Remake, Sci-fi, Puzzle, Retro"
"Star Wars: Battlefront 2 (Classic, 2005)","Star Wars, Action, Multiplayer, Shooter, Third-Person Shooter, Classic, Sci-fi, Space, FPS, First-Person, Singleplayer, Moddable, Third Person, Military, Masterpiece, Co-op, Tactical, Strategy, Great Soundtrack, Adventure"
Thrillville®: Off the Rails™,"Simulation, Adventure, Strategy, Action, Racing, Management, Singleplayer, Casual, Funny"
Armed and Dangerous®,"Action, Third-Person Shooter, Funny, Comedy, Classic, Shooter"
Shank,"Action, Indie, Beat 'em up, 2D, Side Scroller, Local Co-Op, Platformer, Gore, Singleplayer, Short, Co-op, Adventure, Controller, Multiplayer, Hack and Slash, Old School, Local Multiplayer, Violent"
Ghost Master®,"Strategy, Comedy, Puzzle, Simulation, Classic, Singleplayer, Funny, Horror, Tactical, Sandbox, Great Soundtrack, Villain Protagonist, Supernatural"
